ID,标题,类型,分类,内容,英文内容
"901773","波点围巾","服装","C佩饰道具","波点围巾","polka_dot_scarf"
"901774","红领巾","服装","C佩饰道具","红领巾","red_neckerchief"
"901775","圆顶礼帽","服装","C佩饰道具","圆顶礼帽","Bowler hat"
"901776","挂在脖子上的耳机","服装","C佩饰道具","挂在脖子上的耳机","headphones_around_neck"
"901777","印花围巾","服装","C佩饰道具","印花围巾","print_scarf"
"901778","披肩","服装","C佩饰道具","披肩","capelet"
"901779","牛仔帽","服装","C佩饰道具","牛仔帽","Cowboy hat"
"901780","领带","服装","C佩饰道具","领带","necktie"
"901781","羽毛项链","服装","C佩饰道具","羽毛项链","feather_necklace"
"901782","遮阳帽","服装","C佩饰道具","遮阳帽","Visor cap"
"901783","贝壳项链","服装","C佩饰道具","贝壳项链","shell_necklace"
"901784","贝雷帽","服装","C佩饰道具","贝雷帽","beret"
"901785","黑色颈圈","服装","C佩饰道具","黑色颈圈","black_choker"
"901786","圣诞帽","服装","C佩饰道具","圣诞帽","Santa hat"
"901787","蝴蝶结领带","服装","C佩饰道具","蝴蝶结领带","bowtie"
"901788","颈部纹身","服装","C佩饰道具","颈部纹身","neck_tattoo"
"901789","脖子上护目镜","服装","C佩饰道具","脖子上护目镜","goggles_around_neck"
"901790","针织帽","服装","C佩饰道具","针织帽","Beanie"
"901791","条纹围巾","服装","C佩饰道具","条纹围巾","striped_scarf"
"901792","十字架项链","服装","C佩饰道具","十字架项链","cross_necklace"
"901793","格子围巾","服装","C佩饰道具","格子围巾","plaid_scarf"
"901794","侦探帽","服装","C佩饰道具","侦探帽","Fedora"
"901795","女巫帽","服装","C佩饰道具","女巫帽","witch hat"
"901796","厨师帽","服装","C佩饰道具","厨师帽","Chef hat"
"901797","派对帽","服装","C佩饰道具","派对帽","Party hat"
"901798","鸭舌帽","服装","C佩饰道具","鸭舌帽","peaked cap"
"901799","小丑帽","服装","C佩饰道具","小丑帽","Jester cap"
"901800","珍珠项链","服装","C佩饰道具","珍珠项链","pearl_necklace"
"901801","棒球帽","服装","C佩饰道具","棒球帽","Baseball cap"
"901802","骷髅项链","服装","C佩饰道具","骷髅项链","skull_necklace"
"901803","领巾","服装","C佩饰道具","领巾","neckerchief"
"901804","草帽","服装","C佩饰道具","草帽","Straw hat"
"901805","金项链","服装","C佩饰道具","金项链","gold_necklace"
"901806","军官帽","服装","C佩饰道具","军官帽","Military hat"
"901807","心形项链","服装","C佩饰道具","心形项链","labcoat"
"901808","颈铃","服装","C佩饰道具","颈铃","neck_bell"
"901809","花项链","服装","C佩饰道具","花项链","flower_necklace"
"901810","格纹围巾","服装","C佩饰道具","格纹围巾","checkered_scarf"
"901811","颈部饰品","服装","C佩饰道具","颈部饰品","choker"
"901812","泳装晒痕","人物","C皮肤","泳装晒痕","pang"
"901813","苍白皮肤","人物","C皮肤","苍白皮肤","pale skin"
"901814","如白色大理石般有光泽的肌肤","人物","C皮肤","如白色大理石般有光泽的肌肤","white marble glowing skin"
"901815","深色皮肤","人物","C皮肤","深色皮肤","deep skin"
"901816","光泽的肌肤","人物","C皮肤","光泽的肌肤","white marble glowing skin"
"901817","白皙皮肤","人物","C皮肤","白皙皮肤","white skin"
"901818","棕色皮肤","人物","C皮肤","棕色皮肤","brown skin"
"901819","偏黑皮肤","人物","C皮肤","偏黑皮肤","black skin"
"901820","有光泽的皮肤","人物","C皮肤","有光泽的皮肤","shiny skin"
"901821","晒日线","人物","C皮肤","晒日线","tan lines"
"901836","肥胖","人物","C体型","肥胖","fat"
"901837","高大","人物","C体型","高大","tall"
"901838","模特","人物","C体型","模特","model"
"901839","苗条","人物","C体型","苗条","slender"
"901840","肌肉","人物","C体型","肌肉","muscular"
"901841","纤弱","人物","C体型","纤弱","petite"
"901842","丰满","人物","C体型","丰满","plump"
"901843","宽臀","人物","C体型","宽臀","wide hips"
"901844","细腰","人物","C体型","细腰","narrow waist"
"901845","诱惑","人物","C体型","诱惑","glamor"
"901846","黑丝裤袜","服装","C袜子鞋子","黑丝裤袜","black_pantyhose"
"901847","马丁靴","服装","C袜子鞋子","马丁靴","doc_martens"
"901848","赤脚","服装","C袜子鞋子","赤脚","barefoot"
"901849","油亮裤袜","服装","C袜子鞋子","油亮裤袜","shiny_pantyhose"
"901850","网袜 (材质)","服装","C袜子鞋子","网袜 (材质)","fishnets"
"901851","肉丝裤袜","服装","C袜子鞋子","肉丝裤袜","nude_pantyhose"
"901852","连体白丝","服装","C袜子鞋子","连体白丝","white_bodystocking"
"901853","踝袜","服装","C袜子鞋子","踝袜","ankle_socks"
"901854","皮靴","服装","C袜子鞋子","皮靴","leather_boots"
"901855","有腿环的裤袜","服装","C袜子鞋子","有腿环的裤袜","thighband_pantyhose"
"901856","木屐凉鞋","服装","C袜子鞋子","木屐凉鞋","clog_sandals"
"901857","一只脚没穿鞋子","服装","C袜子鞋子","一只脚没穿鞋子","single_shoe"
"901858","泡泡袜","服装","C袜子鞋子","泡泡袜","loose_socks"
"901859","运动鞋","服装","C袜子鞋子","运动鞋","sneakers"
"901860","乐福鞋(小皮鞋)","服装","C袜子鞋子","乐福鞋(小皮鞋)","black_loafers"
"901861","脱下的鞋","服装","C袜子鞋子","脱下的鞋","shoes_removed"
"901862","单鞋","服装","C袜子鞋子","单鞋","the_only_shoe"
"901863","连体黑丝","服装","C袜子鞋子","连体黑丝","black_bodystocking"
"901864","乐福鞋 (小皮鞋)","服装","C袜子鞋子","乐福鞋 (小皮鞋)","black_loafers"
"901865","横条短袜","服装","C袜子鞋子","横条短袜","striped_socks"
"901866","腿套|暖腿袜","服装","C袜子鞋子","腿套|暖腿袜","leg_warmers"
"901867","腰带(吊带袜的)","服装","C袜子鞋子","腰带(吊带袜的)","garter_straps"
"901868","渔网袜","服装","C袜子鞋子","渔网袜","stirrup_legwear"
"901869","蕾丝边袜","服装","C袜子鞋子","蕾丝边袜","lace-trimmed_legwear"
"901870","靴子","服装","C袜子鞋子","靴子","boots"
"901871","透明的袜子","服装","C袜子鞋子","透明的袜子","see-through_legwear"
"901872","吊带袜","服装","C袜子鞋子","吊带袜","garter_straps"
"901873","脱下的鞋子","服装","C袜子鞋子","脱下的鞋子","shoes_removed"
"901874","雪地靴","服装","C袜子鞋子","雪地靴","snow_boots"
"901875","镣铐","服装","C袜子鞋子","镣铐","shackles"
"901876","黑色长筒袜","服装","C袜子鞋子","黑色长筒袜","black_thighhighs"
"901877","白色长筒袜","服装","C袜子鞋子","白色长筒袜","white_thighhighs"
"901878","损坏了的长筒袜","服装","C袜子鞋子","损坏了的长筒袜","torn_thighhighs"
"901879","高跟鞋","服装","C袜子鞋子","高跟鞋","high_heels"
"901880","花边袜","服装","C袜子鞋子","花边袜","frilled_legwear"
"901881","腰带 (吊带袜的)","服装","C袜子鞋子","腰带 (吊带袜的)","garter_straps"
"901882","大腿靴","服装","C袜子鞋子","大腿靴","thigh_boots"
"901883","粉色长筒袜","服装","C袜子鞋子","粉色长筒袜","pink_thighhighs"
"901884","高跟靴","服装","C袜子鞋子","高跟靴","high_heel_boots"
"901885","白丝裤袜","服装","C袜子鞋子","白丝裤袜","white_pantyhose"
"901886","裤袜","服装","C袜子鞋子","裤袜","pantyhose"
"901887","脚环","服装","C袜子鞋子","脚环","anklet"
"901888","丝袜","服装","C袜子鞋子","丝袜","stockings"
"901889","没有鞋子","服装","C袜子鞋子","没有鞋子","no_shoes"
"901890","网袜(材质)","服装","C袜子鞋子","网袜(材质)","fishnets"
"901891","长筒袜","服装","C袜子鞋子","长筒袜","thighhighs"
"901892","破损的裤袜","服装","C袜子鞋子","破损的裤袜","torn_pantyhose"
"901893","旱冰鞋","服装","C袜子鞋子","旱冰鞋","roller_skates"
"901894","裸腿","服装","C袜子鞋子","裸腿","bare_legs"
"901895","裸足凉鞋","服装","C袜子鞋子","裸足凉鞋","barefoot_sandals"
"901896","不对称胸型","人物","C胸部","不对称胸型","asymmetrical breasts"
"901897","小胸部 (B 罩杯)","人物","C胸部","小胸部 (B 罩杯)","small breasts (B cup)"
"901898","巨乳 (E 罩杯)","人物","C胸部","巨乳 (E 罩杯)","huge breasts (E cup)"
"901899","下垂胸型","人物","C胸部","下垂胸型","sagging breast shape"
"901900","外扩胸型","人物","C胸部","外扩胸型","wide-set breast shape"
"901901","中等胸部","人物","C胸部","中等胸部","medium breasts"
"901902","未扣扣子（胸部相关服饰状态）","人物","C胸部","未扣扣子（胸部相关服饰状态）","unbuttoned clothes"
"901903","巨乳","人物","C胸部","巨乳","huge breasts"
"901904","魔乳","人物","C胸部","魔乳","gigantic breasts"
"901905","未扣扣子","人物","C胸部","未扣扣子","unbuttoned clothes"
"901906","胸","人物","C胸部","胸","chest"
"901907","挺拔胸型","人物","C胸部","挺拔胸型","perky breast shape"
"901908","魔乳 (F 罩杯)","人物","C胸部","魔乳 (F 罩杯)","gigantic breasts (F cup)"
"901909","超大胸 (G 罩杯)","人物","C胸部","超大胸 (G 罩杯)","extra-large breasts (G cup)"
"901910","胸肌","人物","C胸部","胸肌","pectorals"
"901911","大胸部","人物","C胸部","大胸部","big breasts"
"901912","紧致胸部","人物","C胸部","紧致胸部","firm breasts"
"901913","浑圆胸型","人物","C胸部","浑圆胸型","round breast shape"
"901914","大胸肌","人物","C胸部","大胸肌","large pectorals"
"901915","中等胸部 (C 罩杯)","人物","C胸部","中等胸部 (C 罩杯)","medium breasts (C cup)"
"901916","小胸部","人物","C胸部","小胸部","small breasts"
"901917","聚拢胸型","人物","C胸部","聚拢胸型","close-set breast shape"
"901918","微乳 (A 罩杯)","人物","C胸部","微乳 (A 罩杯)","tiny breasts (A cup)"
"901919","大胸部 (D 罩杯)","人物","C胸部","大胸部 (D 罩杯)","big breasts (D cup)"
"901920","有胸纹的胸部","人物","C胸部","有胸纹的胸部","breasts with stretch marks"
"901921","单脚伸展","动作","C站立","单脚站立, 另一条腿向后抬起, 双手向上伸展, 身体形成优美弧线, 头向后仰","Standing - looking at or towards the camera"
"901922","背手侧身","动作","C站立","侧身站立, 双手背在身后, 头转向镜头, 下巴微扬, 颈部线条优美","Standing - looking at or towards the camera"
"901923","柱旁倚靠","动作","C站立","侧身站立靠在柱子上, 一只手搭在柱子上, 另一只脚跷起, 看向别处","Standing - looking at or towards the camera"
"901924","踮脚优雅","动作","C站立","踮起脚尖站立, 双手在身体两侧轻轻抬起, 身体挺直优雅, 下巴微扬","Standing - looking at or towards the camera"
"901925","抱臂后仰","动作","C站立","站立双手交叉抱在胸前, 身体后仰, 头微微抬起, 表情高傲","Standing - looking at or towards the camera"
"901926","背对环抱","动作","C站立","背对镜头站立, 双手环抱自己, 头微微低下, 侧脸若隐若现","Standing - looking at or towards the camera"
"901927","单脚穿鞋","动作","C站立","穿鞋的动作, 单脚站立, 一只手抓着脚腕, 努力保持平衡, 表情认真","Action of putting on shoes, standing on one foot, holding the ankle with one hand, trying to maintain balance, serious expression"
"901928","靠墙插兜","动作","C站立","背靠墙站立, 一只脚抵在墙上, 双手插兜, 头歪向一侧, 眼神玩味","Standing, hands in pockets - looking at or towards the camera"
"901929","抱臂自信","动作","C站立","站立双手交叉抱臂, 身体重心放在一条腿上, 另一只脚轻点地面, 表情自信","Standing - looking at or towards the camera"
"901930","扶帽神秘","动作","C站立","站立一只手扶着帽檐, 另一只手插兜, 身体微微倾斜, 眼神神秘","Standing - looking at or towards the camera"
"901931","踢腿平衡","动作","C站立","站立一条腿向前踢起, 脚尖绷直, 双手向两侧伸展保持平衡, 头抬起看向前方","Standing - looking at or towards the camera"
"901932","慵懒回眸","动作","C站立","侧身站立双手插兜, 慢慢转头看向镜头, 眼神慵懒, 嘴角带着若有若无的微笑","Standing sideways with hands in pockets, slowly turning head to look at the camera, lazy eyes, with a faint smile on the lips"
"901933","回眸飘发","动作","C站立","背对镜头站立, 突然回头看向镜头, 下巴微收, 肩膀轻轻耸起, 头发随转身飘起遮挡半边脸","Standing with back to the camera, suddenly turning head to look at the camera, chin slightly tucked in, shoulders gently raised, hair fluttering to cover half the face as turning around"
"901934","叉腰S曲线","动作","C站立","站立一只手叉腰, 另一只手自然垂下, 身体微微扭转形成S曲线, 眼神撩人","Standing, hands on hips - looking at or towards the camera"
"901935","三七站姿","动作","C站立","站立双手自然握在身前, 一条腿稍微弯曲, 身体呈三七分站姿, 微笑看镜头","Standing, with a smile - looking at or towards the camera"
"901936","把杆侧抬","动作","C站立","单脚站立, 另一条腿向侧面抬起, 一只手扶着把杆, 另一只手优雅举起","Standing - looking at or towards the camera"
"901937","阿拉贝斯克","动作","C站立","侧身站立, 一条腿向后抬起做阿拉贝斯克, 双臂向前后伸展, 身体成一条直线","Standing - looking at or towards the camera"
"901938","撩发后仰","动作","C站立","侧身站立, 双手举起撩头发, 头向后仰, 颈部曲线优美, 眼睛闭着","Standing - looking at or towards the camera"
"901939","湖畔芦苇风格","字体","C字面风格","湖畔芦苇风格，湖边芦苇随风摇曳，湖面如镜倒映蓝天，野鸭游过泛起涟漪，傍晚有归鸟栖息","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901940","雪山冰川风格","字体","C字面风格","雪山冰川风格，皑皑雪山直插云霄，冰川断裂处泛着幽蓝，山脚下有耐寒植被点缀，空气凛冽清新","Snow mountain and glacier style featuring snow-capped mountains reaching into the clouds, with deep blue glacial fractures and cold-resistant vegetation at the mountain base. Creates a crisp, fresh atmosphere. Integrates scenic elements into font design for an immersive visual experience."
"901941","晨雾山村风格","字体","C字面风格","晨雾山村风格，山村被晨雾半掩，屋顶炊烟与雾交融，村民早起劳作的身影隐约可见，鸡犬相闻","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901942","火山地貌风格","字体","C字面风格","火山地貌风格，火山口呈碗状，周围岩石黝黑多孔，有地热蒸汽冒出，地表植被稀疏，透着原始粗犷","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901943","秋日枫林风格","字体","C字面风格","秋日枫林风格，漫山枫树叶片赤红似火，落叶铺满地面，阳光穿过枝叶洒下斑驳光影，秋风拂过沙沙作响","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901944","峡谷云海风格","字体","C字面风格","峡谷云海风格，峡谷中云海弥漫，仅露出山顶如孤岛","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901945","雪山草甸风格","字体","C字面风格","雪山草甸风格，雪山脚下草甸翠绿，点缀着各色野花，牦牛低头吃草，远处雪峰清晰可见","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901946","戈壁胡杨风格","字体","C字面风格","戈壁胡杨风格，戈壁滩上胡杨或苍劲挺立，或扭曲生长，树干呈深褐色，秋日叶片金黄，尽显生命力","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901947","秋日银杏风格","字体","C字面风格","秋日银杏风格，银杏树叶片金黄，风吹过如蝴蝶飘落，地面铺成金色地毯，阳光透过枝叶金光闪闪","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901948","海边沙滩风格","字体","C字面风格","海边沙滩风格，金色沙滩绵延，海浪温柔地漫上沙滩又退去，留下贝壳和脚印，孩子们在沙滩嬉戏","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901949","大漠孤烟风格","字体","C字面风格","大漠孤烟风格，沙漠中孤烟直上，与远处的地平线形成直线，天空湛蓝如洗，极少有生命迹象","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901950","热带雨林风格","字体","C字面风格","热带雨林风格，高大乔木遮天蔽日，藤蔓缠绕树干，林间潮湿闷热，奇花异草遍布，虫鸣鸟叫不绝","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901951","热带雨林雨景风格","字体","C字面风格","热带雨林雨景风格，暴雨倾盆而下，雨林中水汽氤氲，植物叶片承接雨水滴落，形成天然的雨声交响曲","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901952","雾中竹林风格","字体","C字面风格","雾中竹林风格，竹林被薄雾笼罩，竹叶沾着水珠，光线透过雾层形成柔和光斑，偶有鸟鸣，静谧清幽","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901953","山间瀑布风格","字体","C字面风格","山间瀑布风格，瀑布从悬崖倾泻而下，水花四溅形成水雾，下方有碧绿深潭，周围草木郁郁葱葱","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901954","竹海听雨风格","字体","C字面风格","竹海听雨风格，大雨冲刷竹林，竹叶哗哗作响，雨水顺竹竿流淌，地面形成水洼倒映竹影","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901955","梯田云海风格","字体","C字面风格","梯田云海风格，层层梯田在山间铺展，清晨被云海环绕，如仙境般缥缈，日出时云海被染成金色","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901956","杏花微雨风格","字体","C字面风格","杏花微雨风格，杏树花开洁白淡雅，细雨蒙蒙打湿花瓣，地面落英缤纷，空气湿润带着淡淡花香","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901957","苔原冻土风格","字体","C字面风格","苔原冻土风格，地表覆盖苔藓和地衣，冻土区偶有矮灌木，夏季短暂开花，昼夜温差大，风蚀痕迹明显","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901958","春日花海风格","字体","C字面风格","春日花海风格，各色花卉成片绽放，如彩色地毯铺展，蝴蝶蜜蜂穿梭其间，微风带来阵阵花香","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901959","云海松涛风格","字体","C字面风格","云海松涛风格，黄山松扎根悬崖，枝叶舒展如伞，山间云海翻腾，风吹松针发出如涛声般的轰鸣","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901960","红树林湿地风格","字体","C字面风格","红树林湿地风格，红树植物根系盘错，涨潮时树干半浸水中，鱼虾在根部穿梭，白鹭栖息枝头","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901961","沙漠落日风格","字体","C字面风格","沙漠落日风格，夕阳将沙漠染成金红色，沙丘起伏如波浪，偶见骆驼剪影，余晖渐退时星空初现","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901962","草原牧歌风格","字体","C字面风格","草原牧歌风格，碧绿草原一望无际，羊群如白云散落，牧民帐篷炊烟袅袅，骏马奔腾扬起尘土","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901963","月下山泉风格","字体","C字面风格","月下山泉风格，月光洒在山间清泉上，泉水叮咚作响，周围岩石被月光照亮，偶有萤火虫飞舞","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901964","峡谷溪流风格","字体","C字面风格","峡谷溪流风格，峡谷两侧岩壁陡峭，溪流在谷底蜿蜒流淌，水色清澈见底，阳光仅从谷顶缝隙照入","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901965","石林秘境风格","字体","C字面风格","石林秘境风格，造型奇特的石柱群拔地而起，石缝中生长着耐旱植物，阳光照射下石柱影子交错","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901966","海边礁石风格","字体","C字面风格","海边礁石风格，海浪拍打黑色礁石溅起白色浪花，礁石上长着海苔，远处海鸥盘旋，咸湿海风拂面","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901967","沼泽湿地风格","字体","C字面风格","沼泽湿地风格，水面上漂浮着绿色植物，芦苇和菖蒲丛生，偶有水鸟掠过，脚下土地松软湿润","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901968","雪原林海风格","字体","C字面风格","雪原林海风格，积雪覆盖森林，松树挂满雪球，林间小路被雪掩埋，偶尔有野兔留下的足迹","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901969","寒江独钓风格","字体","C字面风格","寒江独钓风格，冬日江面结薄冰，一叶扁舟泊于水上，老翁披蓑衣垂钓，四周寂静只闻水声","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901970","江枫渔火风格","字体","C字面风格","江枫渔火风格，江边枫树与渔船相伴，夜晚渔火点点，与星空、江月交相辉映，渔歌隐约传来","Combines scenic imagery with text design, creating a unique visual fusion of typography and natural landscapes. Enhances the storytelling aspect of design."
"901971","编织纹理（藤编）","字体","C字面纹理","编织纹理（藤编），模拟藤条编织效果，纹理呈现出交叉的曲线，藤条颜色多为自然的棕色或米白色，有一定的柔韧性和质感，可营造出自然、温馨的氛围","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901972","石头纹理（花岗岩）","字体","C字面纹理","石头纹理（花岗岩），具有花岗岩独特的颗粒状纹理，颜色丰富，包含多种矿物质颜色，如灰色、白色、黑色、红色等，纹理随机分布，展现出坚硬、自然的质感","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901973","蕾丝纹理","字体","C字面纹理","蕾丝纹理，纹理由精致的花纹组成，线条细腻、复杂，通常为白色或淡色，具有半透明效果，可展现出优雅、浪漫的气质","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901974","蜂窝纹理","字体","C字面纹理","蜂窝纹理，由许多六边形的蜂窝单元紧密排列组成，纹理规则且整齐，有一定的立体感，颜色多为黄色、棕色等，能体现出精密、有序的结构感","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901975","绒毛纹理","字体","C字面纹理","绒毛纹理，模拟绒毛的质感，有许多细小、柔软的绒毛线条，颜色柔和，通常为白色、米色、灰色等，给人温暖、舒适的感觉","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901976","石纹（板岩）","字体","C字面纹理","石纹（板岩），纹理呈片状或板状，有明显的分层效果，颜色以灰色、黑色、绿色等为主，表面相对平整，带有一定的粗糙感，可表现出古朴、自然的风格","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901977","花纹（佩斯利花纹）","字体","C字面纹理","花纹（佩斯利花纹），具有独特的腰果形状或水滴形状图案，图案对称且复杂，颜色丰富，常用于服装、家居装饰等领域，体现出华丽、复古的风格","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901978","石头纹理（鹅卵石）","字体","C字面纹理","石头纹理（鹅卵石），纹理模拟鹅卵石表面的光滑和圆润，有轻微的凹凸感，颜色以灰色、黄色、褐色等自然色为主，排列方式不规则，给人亲近自然的感觉","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901979","晶体纹理","字体","C字面纹理","晶体纹理，模拟晶体的结构，有规则的几何形状和清晰的边缘，如正方体、三棱柱等，颜色透明或带有色彩，具有光泽和折射效果，可展现出晶莹剔透的质感","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901980","沙砾纹理","字体","C字面纹理","沙砾纹理，由许多细小的沙砾颗粒组成，颗粒大小不一，颜色多为黄色、白色、灰色等，分布随机，可营造出沙滩、沙漠等场景的真实感","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901981","泡沫纹理","字体","C字面纹理","泡沫纹理，呈现出泡沫的不规则形状和空洞结构，颜色通常为白色或透明，有轻盈、蓬松的感觉，常用于表现柔软、易碎的物体","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901982","木纹（橡木）","字体","C字面纹理","木纹（橡木），呈现出橡木特有的年轮纹理，线条清晰且疏密有致，伴有自然的木结和纹理变化，颜色多为浅黄至深褐色，能营造出温暖、质朴的氛围","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901983","闪电纹理","字体","C字面纹理","闪电纹理，呈现出闪电的折线形状，线条明亮且尖锐，颜色通常为白色或淡蓝色，边缘带有光芒，具有瞬间爆发的视觉冲击力","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901984","珊瑚纹理","字体","C字面纹理","珊瑚纹理，模拟珊瑚的形态，纹理复杂多样，有分支和孔洞，颜色鲜艳，如红色、粉色、橙色等，展现出海洋生物的独特美感","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901985","树叶纹理","字体","C字面纹理","树叶纹理，纹理模拟树叶的脉络结构，主脉和侧脉清晰可见，形状和大小根据树叶种类不同而变化，颜色多为绿色，可体现出自然、生机的气息","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901986","斑马纹纹理","字体","C字面纹理","斑马纹纹理，具有黑白相间的平行条纹，条纹宽度和间距有一定规律，线条清晰，可用于表现简洁、醒目的装饰效果","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901987","玻璃纹理","字体","C字面纹理","玻璃纹理，表面光滑，能清晰反射周围环境，带有细微的折射效果，可呈现出透明、半透明或有色玻璃的质感，颜色多样，常为无色、蓝色、绿色等","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901988","漩涡纹理","字体","C字面纹理","漩涡纹理，呈螺旋状的漩涡形态，线条流畅，颜色从中心向外逐渐变化，可产生强烈的视觉吸引力和动感","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901989","苔藓纹理","字体","C字面纹理","苔藓纹理，呈现出苔藓的细密、不规则的生长纹理，颜色以绿色为主，深浅不一，可能伴有少量的棕色或黄色，有自然、潮湿的感觉","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901990","泥地纹理","字体","C字面纹理","泥地纹理，表面粗糙，有不规则的凹凸和裂缝，颜色多为棕色、黄色等，可能伴有少量的绿色或黑色，可体现出泥泞、潮湿的地面质感","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901991","橡胶纹理","字体","C字面纹理","橡胶纹理，表面有一定的粗糙感，纹理不规则，可能带有细小的颗粒或凹凸，颜色多为黑色、灰色等，具有弹性和耐用的视觉特征","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
"901992","巧克力纹理","字体","C字面纹理","巧克力纹理，模拟巧克力的表面质感，有细腻的纹路和光泽，颜色多为棕色，可能带有一些白色的可可脂纹路，可表现出美味、诱人的感觉","a well-designed Text Effects element that enhances the overall visual appeal of design projects. Suitable for various creative applications and design scenarios."
